time,volume,open,high,low,close
2019-03-04 21:01:00,3,111.698,111.704,111.698,111.704
2019-03-04 21:02:00,2,111.701,111.701,111.698,111.698
2019-03-04 21:03:00,5,111.700,111.706,111.700,111.706
2019-03-04 21:04:00,5,111.704,111.712,111.704,111.712
2019-03-04 21:05:00,12,111.715,111.718,111.710,111.713
2019-03-04 21:06:00,1,111.710,111.710,111.710,111.710
2019-03-04 21:07:00,2,111.708,111.708,111.705,111.705
2019-03-04 21:08:00,3,111.708,111.712,111.708,111.712
2019-03-04 21:10:00,2,111.710,111.712,111.710,111.712
2019-03-04 21:13:00,3,111.714,111.719,111.714,111.719
2019-03-04 21:14:00,2,111.721,111.724,111.721,111.724
2019-03-04 21:16:00,3,111.726,111.732,111.726,111.732
2019-03-04 21:19:00,4,111.728,111.730,111.726,111.730
2019-03-04 21:22:00,2,111.733,111.733,111.730,111.730
2019-03-04 21:23:00,2,111.728,111.730,111.728,111.730
2019-03-04 21:24:00,2,111.733,111.733,111.731,111.731
2019-03-04 21:25:00,3,111.733,111.738,111.733,111.738
2019-03-04 21:26:00,2,111.740,111.740,111.738,111.738
2019-03-04 21:29:00,4,111.736,111.738,111.736,111.738
2019-03-04 21:31:00,4,111.736,111.738,111.734,111.738
2019-03-04 21:33:00,2,111.736,111.738,111.736,111.738
2019-03-04 21:38:00,3,111.736,111.736,111.730,111.730
2019-03-04 21:39:00,6,111.728,111.731,111.728,111.731
2019-03-04 21:40:00,2,111.728,111.730,111.728,111.730
2019-03-04 21:41:00,2,111.728,111.731,111.728,111.731
2019-03-04 21:42:00,1,111.734,111.734,111.734,111.734
2019-03-04 21:44:00,1,111.730,111.730,111.730,111.730
2019-03-04 21:45:00,2,111.733,111.736,111.733,111.736
2019-03-04 21:46:00,3,111.734,111.734,111.728,111.728
2019-03-04 21:47:00,2,111.730,111.730,111.728,111.728
2019-03-04 21:49:00,1,111.726,111.726,111.726,111.726
2019-03-04 21:50:00,4,111.728,111.730,111.728,111.730
2019-03-04 21:51:00,1,111.733,111.733,111.733,111.733
2019-03-04 21:52:00,2,111.736,111.738,111.736,111.738
2019-03-04 21:54:00,2,111.736,111.736,111.734,111.734
2019-03-04 21:55:00,2,111.736,111.738,111.736,111.738
2019-03-04 21:57:00,3,111.736,111.736,111.734,111.736
2019-03-04 21:58:00,10,111.738,111.747,111.738,111.747
2019-03-04 21:59:00,1,111.744,111.744,111.744,111.744
2019-03-04 22:01:00,1,111.741,111.741,111.741,111.741
2019-03-04 22:02:00,1,111.741,111.741,111.741,111.741
2019-03-04 22:03:00,4,111.744,111.758,111.744,111.754
2019-03-04 22:06:00,4,111.758,111.758,111.744,111.744
2019-03-04 22:07:00,4,111.741,111.753,111.741,111.753
2019-03-04 22:08:00,4,111.750,111.750,111.741,111.741
2019-03-04 22:09:00,3,111.744,111.746,111.744,111.744
2019-03-04 22:10:00,12,111.746,111.748,111.744,111.744
2019-03-04 22:11:00,12,111.747,111.747,111.744,111.744
2019-03-04 22:12:00,1,111.741,111.741,111.741,111.741
2019-03-04 22:13:00,12,111.738,111.756,111.736,111.748
2019-03-04 22:14:00,4,111.746,111.748,111.743,111.743
2019-03-04 22:15:00,24,111.743,111.748,111.723,111.743
2019-03-04 22:19:00,1,111.747,111.747,111.747,111.747
2019-03-04 22:21:00,1,111.750,111.750,111.750,111.750
2019-03-04 22:23:00,3,111.746,111.746,111.739,111.739
2019-03-04 22:24:00,2,111.736,111.736,111.733,111.733
2019-03-04 22:25:00,2,111.730,111.730,111.728,111.728
2019-03-04 22:26:00,4,111.726,111.733,111.726,111.733
2019-03-04 22:27:00,4,111.736,111.744,111.736,111.744
2019-03-04 22:28:00,4,111.747,111.750,111.746,111.746
2019-03-04 22:29:00,2,111.748,111.748,111.746,111.746
2019-03-04 22:33:00,2,111.748,111.748,111.745,111.745
2019-03-04 22:34:00,9,111.742,111.760,111.742,111.754
